health status index         uuid                   pri rep docs.count docs.deleted store.size pri.store.size
green  open   subscriptions gSqw-JTNR3aULO54okA0ww   1   0          0            0       283b           283b
green  open   books         cpQ0KWazTbOWZ3L1G-8exA 100   0   32423000            0     45.8gb         45.8gb


2019-07-01 20:26:12,192 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.launcher INFO rally-node-0 (stdout): [2019-07-01T20:26:12,192][INFO ][o.e.n.Node               ] [rally-node-0] JVM arguments [-Xms8g, -Xmx8g, -XX:+UseConcMarkSweepGC, -XX:CMSInitiatingOccupancyFraction=75, -XX:+UseCMSInitiatingOccupancyOnly, -XX:+AlwaysPreTouch, -Xss1m, -Djava.awt.headless=true, -Dfile.encoding=UTF-8, -Djna.nosys=true, -XX:-OmitStackTraceInFastThrow, -Dio.netty.noUnsafe=true, -Dio.netty.noKeySetOptimization=true, -Dio.netty.recycler.maxCapacityPerThread=0, -Dlog4j.shutdownHookEnabled=false, -Dlog4j2.disable.jmx=true, -Djava.io.tmpdir=/tmp/elasticsearch-8750863016713178684, -XX:+HeapDumpOnOutOfMemoryError, -XX:HeapDumpPath=/mnt/tb/races/2019-07-01-20-21-25/rally-node-0/heapdump, -Djava.locale.providers=COMPAT, -Dio.netty.allocator.type=pooled, -XX:+ExitOnOutOfMemoryError, -Des.path.home=/mnt/tb/races/2019-07-01-20-21-25/rally-node-0/install/elasticsearch-8.0.0-SNAPSHOT, -Des.path.conf=/mnt/tb/races/2019-07-01-20-21-25/rally-node-0/install/elasticsearch-8.0.0-SNAPSHOT/config, -Des.distribution.flavor=oss, -Des.distribution.type=tar, -Des.bundled_jdk=true]
2019-07-01 20:26:12,193 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.launcher INFO rally-node-0 (stdout): [2019-07-01T20:26:12,193][WARN ][o.e.n.Node               ] [rally-node-0] version [8.0.0-SNAPSHOT] is a pre-release version of Elasticsearch and is not suitable for production
2019-07-01 20:26:13,126 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.launcher INFO rally-node-0 (stdout): [2019-07-01T20:26:13,126][INFO ][o.e.p.PluginsService     ] [rally-node-0] loaded module [aggs-matrix-stats]
2019-07-01 20:26:13,127 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.launcher INFO rally-node-0 (stdout): [2019-07-01T20:26:13,127][INFO ][o.e.p.PluginsService     ] [rally-node-0] loaded module [analysis-common]
2019-07-01 20:26:13,127 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.launcher INFO rally-node-0 (stdout): [2019-07-01T20:26:13,127][INFO ][o.e.p.PluginsService     ] [rally-node-0] loaded module [ingest-common]
2019-07-01 20:26:13,127 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.launcher INFO rally-node-0 (stdout): [2019-07-01T20:26:13,127][INFO ][o.e.p.PluginsService     ] [rally-node-0] loaded module [ingest-geoip]
2019-07-01 20:26:13,128 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.launcher INFO rally-node-0 (stdout): [2019-07-01T20:26:13,128][INFO ][o.e.p.PluginsService     ] [rally-node-0] loaded module [ingest-user-agent]
2019-07-01 20:26:13,128 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.launcher INFO rally-node-0 (stdout): [2019-07-01T20:26:13,128][INFO ][o.e.p.PluginsService     ] [rally-node-0] loaded module [lang-expression]
2019-07-01 20:26:13,129 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.launcher INFO rally-node-0 (stdout): [2019-07-01T20:26:13,129][INFO ][o.e.p.PluginsService     ] [rally-node-0] loaded module [lang-mustache]
2019-07-01 20:26:13,129 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.launcher INFO rally-node-0 (stdout): [2019-07-01T20:26:13,129][INFO ][o.e.p.PluginsService     ] [rally-node-0] loaded module [lang-painless]
2019-07-01 20:26:13,130 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.launcher INFO rally-node-0 (stdout): [2019-07-01T20:26:13,130][INFO ][o.e.p.PluginsService     ] [rally-node-0] loaded module [mapper-extras]
2019-07-01 20:26:13,130 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.launcher INFO rally-node-0 (stdout): [2019-07-01T20:26:13,130][INFO ][o.e.p.PluginsService     ] [rally-node-0] loaded module [parent-join]
2019-07-01 20:26:13,131 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.launcher INFO rally-node-0 (stdout): [2019-07-01T20:26:13,130][INFO ][o.e.p.PluginsService     ] [rally-node-0] loaded module [percolator]
2019-07-01 20:26:13,131 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.launcher INFO rally-node-0 (stdout): [2019-07-01T20:26:13,131][INFO ][o.e.p.PluginsService     ] [rally-node-0] loaded module [rank-eval]
2019-07-01 20:26:13,131 ActorAddr-(T|:35145)/PID:30848 esrally.mechanic.launcher INFO rally-node-0 (stdout): [2019-07-01T20:26:13,131][INFO ][o.e.p.PluginsService     ] [rally-node-0] loaded module [reindex]
2019-07-01 20:26:18,979 ActorAddr-(T|:38857)/PID:30791 esrally.client INFO Creating ES client connected to [{'host': '127.0.0.1', 'port': 39200}] with options [{'timeout': 6000, 'retry-on-timeout': True}]
