2019-09-22 21:47:15,970 ActorAddr-(T|:32839)/PID:30011 esrally.mechanic.provisioner INFO Reading config template file [/home/ubuntu/.rally/benchmarks/teams/default/cars/v1/vanilla/templates/config/log4j2.properties] and writing to [/home/ubuntu/.rally/benchmarks/races/80ba38ac-54f8-4218-9d5b-408b47a36ec7/rally-node-0/install/elasticsearch-8.0.0-SNAPSHOT/config/log4j2.properties].
2019-09-22 21:47:15,974 ActorAddr-(T|:32839)/PID:30011 esrally.mechanic.provisioner INFO Reading config template file [/home/ubuntu/.rally/benchmarks/teams/default/cars/v1/vanilla/templates/config/jvm.options] and writing to [/home/ubuntu/.rally/benchmarks/races/80ba38ac-54f8-4218-9d5b-408b47a36ec7/rally-node-0/install/elasticsearch-8.0.0-SNAPSHOT/config/jvm.options].
2019-09-22 21:47:15,978 ActorAddr-(T|:32839)/PID:30011 esrally.utils.process INFO Killing all processes which match [java], [elasticsearch] and [/home/ubuntu/.rally/benchmarks/races]
2019-09-22 21:47:15,983 ActorAddr-(T|:32839)/PID:30011 esrally.mechanic.java_resolver INFO Allowed JDK versions are [12, 11].
2019-09-22 21:47:16,50 ActorAddr-(T|:32839)/PID:30011 esrally.mechanic.java_resolver INFO Detected JDK with major version [12] in [/usr/lib/jvm/java-12-oracle].
2019-09-22 21:47:16,51 ActorAddr-(T|:32839)/PID:30011 esrally.mechanic.launcher INFO Starting node [rally-node-0] based on car [4gheap].
2019-09-22 21:47:16,347 ActorAddr-(T|:32839)/PID:30011 esrally.utils.process INFO b'Java HotSpot(TM) 64-Bit Server VM warning: Option UseConcMarkSweepGC was deprecated in version 9.0 and will likely be removed in a future release.\n'
2019-09-22 21:47:25,432 ActorAddr-(T|:32839)/PID:30011 esrally.mechanic.launcher INFO Attaching telemetry devices to node [rally-node-0].
2019-09-22 21:47:25,433 ActorAddr-(T|:32839)/PID:30011 esrally.mechanic.telemetry INFO Using more accurate process-based I/O counters.
2019-09-22 21:47:26,612 ActorAddr-(T|:33513)/PID:29948 esrally.client INFO SSL support: off
2019-09-22 21:47:26,766 ActorAddr-(T|:39015)/PID:29947 esrally.actor INFO Mechanic has started engine successfully.
2019-09-22 21:47:26,612 ActorAddr-(T|:33513)/PID:29948 esrally.client INFO HTTP basic authentication: off
2019-09-22 21:47:26,613 ActorAddr-(T|:33513)/PID:29948 esrally.client INFO HTTP compression: off
2019-09-22 21:47:26,614 ActorAddr-(T|:33513)/PID:29948 esrally.mechanic.launcher INFO All cluster nodes have successfully started. Checking if REST API is available.
2019-09-22 21:47:26,712 ActorAddr-(T|:33513)/PID:29948 esrally.mechanic.launcher INFO REST API is available. Attaching telemetry devices to cluster.
2019-09-22 21:47:26,763 ActorAddr-(T|:33513)/PID:29948 esrally.mechanic.launcher INFO Telemetry devices are now attached to the cluster.
2019-09-22 21:47:26,763 ActorAddr-(T|:33513)/PID:29948 esrally.actor INFO Transitioning from [nodes_started] to [apply_meta_info].
2019-09-22 21:47:26,768 ActorAddr-(T|:33513)/PID:29948 esrally.actor INFO Transitioning from [cluster_started] to [benchmark_starting].
2019-09-22 21:47:26,767 ActorAddr-(T|:39015)/PID:29947 esrally.actor INFO Telling mechanic of benchmark start.
2019-09-22 21:47:26,768 ActorAddr-(T|:39015)/PID:29947 esrally.actor INFO Capabilities [{'coordinator': True, 'ip': '127.0.0.1', 'Convention Address.IPv4': '127.0.0.1:1900', 'Thespian ActorSystem Name': 'multiprocTCPBase', 'Thespian ActorSystem Version': 2, 'Thespian Watch Supported': True, 'Python Version': (3, 6, 8, 'final', 0), 'Thespian Generation': (3, 9), 'Thespian Version': '1569188712859'}] match requirements [{'coordinator': True}].
2019-09-22 21:47:26,770 ActorAddr-(T|:39015)/PID:29947 esrally.actor INFO Telling driver to start benchmark.
2019-09-22 21:47:26,782 ActorAddr-(T|:33513)/PID:29948 esrally.mechanic.telemetry WARNING Could not determine value at path [merges,total_time_in_millis]. Returning default value [None]
2019-09-22 21:47:26,783 ActorAddr-(T|:39015)/PID:29947 esrally.actor INFO BenchmarkActor received unknown message [<esrally.mechanic.mechanic.BenchmarkStarted object at 0x7febdb3abb70>] (ignoring).
2019-09-22 21:47:26,782 ActorAddr-(T|:33513)/PID:29948 esrally.mechanic.telemetry WARNING Could not determine value at path [merges,total_throttled_time_in_millis]. Returning default value [None]
2019-09-22 21:47:26,782 ActorAddr-(T|:33513)/PID:29948 esrally.mechanic.telemetry WARNING Could not determine value at path [indexing,index_time_in_millis]. Returning default value [None]
2019-09-22 21:47:26,782 ActorAddr-(T|:33513)/PID:29948 esrally.mechanic.telemetry WARNING Could not determine value at path [indexing,throttle_time_in_millis]. Returning default value [None]
